"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"-","-","-","-","-","-","18,400","588.80","725.40","18,400","740.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","570.05","702.70","18,400","760.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","553.85","680.05","18,400","780.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","536.05","657.35","18,400","800.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","517.60","634.65","18,400","820.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","500.10","612.00","18,400","840.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","483.90","589.30","18,400","860.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","466.45","566.65","18,400","880.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","448.55","543.95","18,400","900.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","428.60","521.25","18,400","920.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","411.10","498.60","18,400","940.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","395.25","475.90","18,400","960.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","377.75","453.25","18,400","980.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","325.05","430.55","18,400","1000.00","800","0.05","-","-","-","-","-","-","-","800","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","308.15","407.85","18,400","1020.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","291.85","385.20","18,400","1040.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","277.65","362.50","18,400","1060.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","268.65","339.85","18,400","1080.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","252.50","317.15","18,400","1100.00","-","-","0.85","800","-","-","-","-","-","9,600","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
"-","-","-","-","-","-","18,400","237.55","294.00","18,400","1120.00","-","-","-","-","-","-","-","-","-","-","MINDTREE","26NOV2020","Nov 25, 2020 1","14:50:58"
