"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"2,700","-150","8","-","3,583.70","-178.25","75","3,547.70","3,573.45","75","9300.00","34,725","0.05","0.10","1,125","-0.70","0.10","228.60","14,002","-44,700","368,775","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","-","-","-","-","75","3,431.05","3,627.15","75","9350.00","225","0.10","0.45","75","-0.75","0.10","-","418","3,600","7,050","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"21,450","-3,000","42","-","3,460.00","-198.50","75","3,451.05","3,471.55","75","9400.00","225","0.30","0.35","75","-0.60","0.30","222.05","2,298","450","90,150","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","-","-","-","-","75","3,369.30","3,471.30","75","9450.00","2,325","0.05","0.60","75","-0.85","0.05","-","26","-","4,950","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"187,350","-23,925","499","-","3,360.00","-195.40","75","3,360.00","3,367.00","75","9500.00","75","0.15","0.25","1,500","-0.70","0.15","216.85","7,382","-16,200","447,000","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","-","-","-","-","375","3,013.50","3,651.40","375","9550.00","600","0.25","0.65","1,350","-0.60","0.30","216.00","1,072","1,200","4,125","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"8,025","-750","24","-","3,310.00","-150.00","75","3,241.00","3,271.90","75","9600.00","3,000","0.20","0.40","75","-0.35","0.40","-","1,879","2,700","17,925","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","-","-","-","-","4,875","2,926.70","3,537.35","375","9650.00","225","0.30","0.70","2,400","-","0.80","-","5","225","300","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"2,850","-75","9","-","3,195.00","-150.00","75","3,142.85","3,173.40","75","9700.00","675","0.30","0.40","2,400","-0.45","0.35","-","1,970","-300","11,100","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"-","-","-","-","-","-","75","3,007.30","3,187.60","375","9750.00","2,400","0.15","0.75","2,400","-0.05","0.85","-","1","75","2,550","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"11,250","-3,225","48","-","3,057.45","-192.55","75","3,045.65","3,071.95","75","9800.00","1,275","0.25","0.40","600","-0.50","0.35","-","1,105","19,575","44,325","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
