Unique_FUTSTK_Symbols,eSig_Ami_Symbol
ACC,ACC.EQ-NSE
ADANIENT,ADANIENT.EQ-NSE
ADANIPORTS,ADANIPORTS.EQ-NSE
AMARAJABAT,AMARAJABAT.EQ-NSE
AMBUJACEM,AMBUJACEM.EQ-NSE
APOLLOHOSP,APOLLOHOSP.EQ-NSE
APOLLOTYRE,APOLLOTYRE.EQ-NSE
ASHOKLEY,ASHOKLEY.EQ-NSE
ASIANPAINT,ASIANPAINT.EQ-NSE
AUROPHARMA,AUROPHARMA.EQ-NSE
AXISBANK,AXISBANK.EQ-NSE
BAJAJ-AUTO,BAJAJ-AUTO.EQ-NSE
BAJAJFINSV,BAJAJFINSV.EQ-NSE
BAJFINANCE,BAJFINANCE.EQ-NSE
BALKRISIND,BALKRISIND.EQ-NSE
BANDHANBNK,BANDHANBNK.EQ-NSE
BANKBARODA,BANKBARODA.EQ-NSE
BATAINDIA,BATAINDIA.EQ-NSE
BEL,BEL.EQ-NSE
BERGEPAINT,BERGEPAINT.EQ-NSE
BHARATFORG,BHARATFORG.EQ-NSE
BHARTIARTL,BHARTIARTL.EQ-NSE
BHEL,BHEL.EQ-NSE
BIOCON,BIOCON.EQ-NSE
BOSCHLTD,BOSCHLTD.EQ-NSE
BPCL,BPCL.EQ-NSE
BRITANNIA,BRITANNIA.EQ-NSE
CADILAHC,CADILAHC.EQ-NSE
CANBK,CANBK.EQ-NSE
CENTURYTEX,CENTURYTEX.EQ-NSE
CHOLAFIN,CHOLAFIN.EQ-NSE
CIPLA,CIPLA.EQ-NSE
COALINDIA,COALINDIA.EQ-NSE
COLPAL,COLPAL.EQ-NSE
CONCOR,CONCOR.EQ-NSE
CUMMINSIND,CUMMINSIND.EQ-NSE
DABUR,DABUR.EQ-NSE
DIVISLAB,DIVISLAB.EQ-NSE
DLF,DLF.EQ-NSE
DRREDDY,DRREDDY.EQ-NSE
EICHERMOT,EICHERMOT.EQ-NSE
EQUITAS,EQUITAS.EQ-NSE
ESCORTS,ESCORTS.EQ-NSE
EXIDEIND,EXIDEIND.EQ-NSE
FEDERALBNK,FEDERALBNK.EQ-NSE
GAIL,GAIL.EQ-NSE
GLENMARK,GLENMARK.EQ-NSE
GMRINFRA,GMRINFRA.EQ-NSE
GODREJCP,GODREJCP.EQ-NSE
GODREJPROP,GODREJPROP.EQ-NSE
GRASIM,GRASIM.EQ-NSE
HAVELLS,HAVELLS.EQ-NSE
HCLTECH,HCLTECH.EQ-NSE
HDFC,HDFC.EQ-NSE
HDFCBANK,HDFCBANK.EQ-NSE
HDFCLIFE,HDFCLIFE.EQ-NSE
HEROMOTOCO,HEROMOTOCO.EQ-NSE
HINDALCO,HINDALCO.EQ-NSE
HINDPETRO,HINDPETRO.EQ-NSE
HINDUNILVR,HINDUNILVR.EQ-NSE
IBULHSGFIN,IBULHSGFIN.EQ-NSE
ICICIBANK,ICICIBANK.EQ-NSE
ICICIPRULI,ICICIPRULI.EQ-NSE
IDEA,IDEA.EQ-NSE
IDFCFIRSTB,IDFCFIRSTB.EQ-NSE
IGL,IGL.EQ-NSE
INDIGO,INDIGO.EQ-NSE
INDUSINDBK,INDUSINDBK.EQ-NSE
INFRATEL,INFRATEL.EQ-NSE
INFY,INFY.EQ-NSE
IOC,IOC.EQ-NSE
ITC,ITC.EQ-NSE
JINDALSTEL,JINDALSTEL.EQ-NSE
JSWSTEEL,JSWSTEEL.EQ-NSE
JUBLFOOD,JUBLFOOD.EQ-NSE
KOTAKBANK,KOTAKBANK.EQ-NSE
L&TFH,L&TFH.EQ-NSE
LICHSGFIN,LICHSGFIN.EQ-NSE
LT,LT.EQ-NSE
LUPIN,LUPIN.EQ-NSE
M&M,M&M.EQ-NSE
M&MFIN,M&MFIN.EQ-NSE
MANAPPURAM,MANAPPURAM.EQ-NSE
MARICO,MARICO.EQ-NSE
MARUTI,MARUTI.EQ-NSE
MCDOWELL-N,MCDOWELL-N.EQ-NSE
MFSL,MFSL.EQ-NSE
MGL,MGL.EQ-NSE
MINDTREE,MINDTREE.EQ-NSE
MOTHERSUMI,MOTHERSUMI.EQ-NSE
MRF,MRF.EQ-NSE
MUTHOOTFIN,MUTHOOTFIN.EQ-NSE
NATIONALUM,NATIONALUM.EQ-NSE
NAUKRI,NAUKRI.EQ-NSE
NESTLEIND,NESTLEIND.EQ-NSE
NIITTECH,NIITTECH.EQ-NSE
NMDC,NMDC.EQ-NSE
NTPC,NTPC.EQ-NSE
ONGC,ONGC.EQ-NSE
PAGEIND,PAGEIND.EQ-NSE
PEL,PEL.EQ-NSE
PETRONET,PETRONET.EQ-NSE
PFC,PFC.EQ-NSE
PIDILITIND,PIDILITIND.EQ-NSE
PNB,PNB.EQ-NSE
POWERGRID,POWERGRID.EQ-NSE
PVR,PVR.EQ-NSE
RAMCOCEM,RAMCOCEM.EQ-NSE
RBLBANK,RBLBANK.EQ-NSE
RECLTD,RECLTD.EQ-NSE
RELIANCE,RELIANCE.EQ-NSE
SAIL,SAIL.EQ-NSE
SBILIFE,SBILIFE.EQ-NSE
SBIN,SBIN.EQ-NSE
SHREECEM,SHREECEM.EQ-NSE
SIEMENS,SIEMENS.EQ-NSE
SRF,SRF.EQ-NSE
SRTRANSFIN,SRTRANSFIN.EQ-NSE
SUNPHARMA,SUNPHARMA.EQ-NSE
SUNTV,SUNTV.EQ-NSE
TATACHEM,TATACHEM.EQ-NSE
TATACONSUM,TATACONSUM.EQ-NSE
TATAMOTORS,TATAMOTORS.EQ-NSE
TATAPOWER,TATAPOWER.EQ-NSE
TATASTEEL,TATASTEEL.EQ-NSE
TCS,TCS.EQ-NSE
TECHM,TECHM.EQ-NSE
TITAN,TITAN.EQ-NSE
TORNTPHARM,TORNTPHARM.EQ-NSE
TORNTPOWER,TORNTPOWER.EQ-NSE
TVSMOTOR,TVSMOTOR.EQ-NSE
UBL,UBL.EQ-NSE
UJJIVAN,UJJIVAN.EQ-NSE
ULTRACEMCO,ULTRACEMCO.EQ-NSE
UPL,UPL.EQ-NSE
VEDL,VEDL.EQ-NSE
VOLTAS,VOLTAS.EQ-NSE
WIPRO,WIPRO.EQ-NSE
ZEEL,ZEEL.EQ-NSE
JUSTDIAL,JUSTDIAL.EQ-NSE
NCC,NCC.EQ-NSE
ADANIPOWER,ADANIPOWER.EQ-NSE
CESC,CESC.EQ-NSE
YESBANK,YESBANK.EQ-NSE
3IINFOTECH,3IINFOTECH.EQ-NSE
ABAN,ABAN.EQ-NSE
ABB,ABB.EQ-NSE
ABGSHIP,ABGSHIP.EQ-NSE
ABIRLANUVO,ABIRLANUVO.EQ-NSE
ALBK,ALBK.EQ-NSE
ALOKTEXT,ALOKTEXT.EQ-NSE
ANDHRABANK,ANDHRABANK.EQ-NSE
APIL,APIL.EQ-NSE
AREVAT&D,AREVAT&D.EQ-NSE
BAJAJHIND,BAJAJHIND.EQ-NSE
BAJAJHLDNG,BAJAJHLDNG.EQ-NSE
BALRAMCHIN,BALRAMCHIN.EQ-NSE
BANKINDIA,BANKINDIA.EQ-NSE
BEML,BEML.EQ-NSE
BGRENERGY,BGRENERGY.EQ-NSE
BHUSANSTL,BHUSANSTL.EQ-NSE
BOMDYEING,BOMDYEING.EQ-NSE
BRFL,BRFL.EQ-NSE
CAIRN,CAIRN.EQ-NSE
CENTRALBK,CENTRALBK.EQ-NSE
CHAMBLFERT,CHAMBLFERT.EQ-NSE
CHENNPETRO,CHENNPETRO.EQ-NSE
COREPROTEC,COREPROTEC.EQ-NSE
CROMPGREAV,CROMPGREAV.EQ-NSE
DCB,DCB.EQ-NSE
DCHL,DCHL.EQ-NSE
DENABANK,DENABANK.EQ-NSE
DISHTV,DISHTV.EQ-NSE
EDUCOMP,EDUCOMP.EQ-NSE
EKC,EKC.EQ-NSE
ESSAROIL,ESSAROIL.EQ-NSE
FINANTECH,FINANTECH.EQ-NSE
FORTIS,FORTIS.EQ-NSE
FSL,FSL.EQ-NSE
GESHIP,GESHIP.EQ-NSE
GLAXO,GLAXO.EQ-NSE
GMDCLTD,GMDCLTD.EQ-NSE
GODREJIND,GODREJIND.EQ-NSE
GSPL,GSPL.EQ-NSE
GTL,GTL.EQ-NSE
GTLINFRA,GTLINFRA.EQ-NSE
